cab_type,vendor_id,pickup_datetime,dropoff_datetime,rate_code_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,congestion_surcharge,total_amount,payment_type,trip_type,pickup_location_id,dropoff_location_id
yellow,CMT,2018-01-01T00:00:22.000000Z,2018-01-01T00:04:05.000000Z,Standard rate,,,,,1,0.700000000000,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Cash,na,162,137
yellow,VTS,2018-01-01T00:00:22.000000Z,2018-01-01T00:12:10.000000Z,Standard rate,,,,,1,2.9,12.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,13.3,Cash,na,148,80
yellow,CMT,2018-01-01T00:00:23.000000Z,2018-01-01T00:33:02.000000Z,Standard rate,,,,,1,3.7,21.0,0.5,0.5,6.65,0.0,0.0,0.3,0.0,28.95,Card,na,158,141
green,VTS,2018-01-01T00:00:24.000000Z,2018-01-01T00:16:59.000000Z,Standard rate,,,,,2,5.83,18.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,19.3,Cash,Street hail,52,224
green,VTS,2018-01-01T00:00:24.000000Z,2018-01-01T00:00:55.000000Z,Standard rate,,,,,1,0.08,2.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,3.800000000000,Cash,Street hail,74,74
yellow,CMT,2018-01-01T00:00:24.000000Z,2018-01-01T00:06:57.000000Z,Standard rate,,,,,1,0.700000000000,6.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,7.3,Cash,na,186,68
yellow,CMT,2018-01-01T00:00:24.000000Z,2018-01-01T00:11:27.000000Z,Standard rate,,,,,1,2.0,9.5,0.5,0.5,2.15,0.0,0.0,0.3,0.0,12.950000000000,Card,na,229,79
yellow,VTS,2018-01-01T00:00:25.000000Z,2018-01-01T00:06:08.000000Z,Standard rate,,,,,1,1.36,6.5,0.5,0.5,2.34,0.0,0.0,0.3,0.0,10.14,Card,na,43,237
yellow,CMT,2018-01-01T00:00:25.000000Z,2018-01-01T00:13:43.000000Z,Standard rate,,,,,1,3.6,12.5,0.5,0.5,2.75,0.0,0.0,0.3,0.0,16.55,Card,na,142,166
yellow,VTS,2018-01-01T00:00:25.000000Z,2018-01-01T00:11:50.000000Z,Standard rate,,,,,1,0.59,8.0,0.5,0.5,1.86,0.0,0.0,0.3,0.0,11.16,Card,na,48,68
yellow,CMT,2018-01-01T00:00:25.000000Z,2018-01-01T00:20:37.000000Z,Standard rate,,,,,1,7.4,24.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,25.3,Cash,na,237,116
yellow,CMT,2018-01-01T00:00:26.000000Z,2018-01-01T00:03:34.000000Z,Standard rate,,,,,1,0.4,4.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.3,Cash,na,236,262
yellow,CMT,2018-01-01T00:00:26.000000Z,2018-01-01T00:12:31.000000Z,Standard rate,,,,,1,1.400000000000,9.0,0.5,0.5,3.050000000000,0.0,0.0,0.3,0.0,13.35,Card,na,164,233
yellow,CMT,2018-01-01T00:00:27.000000Z,2018-01-01T00:04:11.000000Z,Standard rate,,,,,4,0.3,4.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.8,Cash,na,233,161
yellow,VTS,2018-01-01T00:00:28.000000Z,2018-01-01T00:16:27.000000Z,Standard rate,,,,,6,2.19,11.5,0.5,0.5,2.56,0.0,0.0,0.3,0.0,15.36,Card,na,170,79
green,VTS,2018-01-01T00:00:29.000000Z,2018-01-01T00:21:44.000000Z,Standard rate,,,,,1,3.89,17.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,18.8,Cash,Street hail,112,112
yellow,CMT,2018-01-01T00:00:32.000000Z,2018-01-01T00:22:06.000000Z,Standard rate,,,,,2,4.7,18.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,19.3,Cash,na,48,75
yellow,CMT,2018-01-01T00:00:33.000000Z,2018-01-01T00:10:33.000000Z,Standard rate,,,,,1,1.0,8.0,0.5,0.5,1.85,0.0,0.0,0.3,0.0,11.15,Card,na,68,246
yellow,VTS,2018-01-01T00:00:36.000000Z,2018-01-01T00:16:36.000000Z,Standard rate,,,,,2,4.14,14.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,15.8,Card,na,161,74
yellow,VTS,2018-01-01T00:00:36.000000Z,2018-01-01T00:03:53.000000Z,Standard rate,,,,,1,0.4,4.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.3,Cash,na,79,79
yellow,VTS,2018-01-01T00:00:36.000000Z,2018-01-01T00:03:33.000000Z,Standard rate,,,,,1,0.700000000000,4.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.8,Card,na,237,237
yellow,CMT,2018-01-01T00:00:37.000000Z,2018-01-01T00:05:52.000000Z,Standard rate,,,,,1,1.0,6.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,7.3,Cash,na,238,236
yellow,CMT,2018-01-01T00:00:38.000000Z,2018-01-01T00:05:58.000000Z,Standard rate,,,,,1,0.5,5.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.8,Cash,na,186,164
yellow,VTS,2018-01-01T00:00:38.000000Z,2018-01-01T00:03:41.000000Z,Standard rate,,,,,1,0.76,5.0,0.5,0.5,1.26,0.0,0.0,0.3,0.0,7.560000000000,Card,na,166,238
yellow,VTS,2018-01-01T00:00:38.000000Z,2018-01-01T00:19:21.000000Z,Standard rate,,,,,1,4.61,16.5,0.5,0.5,2.0,0.0,0.0,0.3,0.0,19.8,Card,na,79,75
yellow,VTS,2018-01-01T00:00:39.000000Z,2018-01-01T00:28:19.000000Z,Standard rate,,,,,1,5.33,22.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,23.3,Cash,na,238,142
yellow,VTS,2018-01-01T00:00:40.000000Z,2018-01-01T00:01:59.000000Z,Standard rate,,,,,1,0.5,3.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,4.8,Card,na,68,246
green,VTS,2018-01-01T00:00:41.000000Z,2018-01-01T00:19:36.000000Z,Standard rate,,,,,1,8.74,25.5,0.5,0.5,2.0,0.0,0.0,0.3,0.0,28.8,Card,Street hail,255,228
yellow,VTS,2018-01-01T00:00:42.000000Z,2018-01-01T00:15:14.000000Z,Standard rate,,,,,5,7.390000000000,22.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,23.3,Cash,na,48,244
yellow,VTS,2018-01-01T00:00:42.000000Z,2018-01-01T00:06:36.000000Z,Standard rate,,,,,1,0.79,5.5,0.5,0.5,1.7,0.0,0.0,0.3,0.0,8.5,Card,na,68,90
yellow,VTS,2018-01-01T00:00:42.000000Z,2018-01-01T00:16:32.000000Z,Standard rate,,,,,1,8.38,24.5,0.5,0.5,2.0,0.0,0.0,0.3,0.0,27.8,Card,na,231,263
green,VTS,2018-01-01T00:00:43.000000Z,2018-01-01T23:55:26.000000Z,Standard rate,,,,,1,1.87,8.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.3,Cash,Street hail,116,119
yellow,CMT,2018-01-01T00:00:43.000000Z,2018-01-01T00:07:53.000000Z,Standard rate,,,,,1,1.1,7.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,8.3,Cash,na,68,50
yellow,VTS,2018-01-01T00:00:44.000000Z,2018-01-01T00:14:44.000000Z,Standard rate,,,,,1,1.73,10.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,11.3,Cash,na,141,186
yellow,VTS,2018-01-01T00:00:44.000000Z,2018-01-01T00:16:44.000000Z,Standard rate,,,,,1,9.620000000000,27.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,28.3,Cash,na,50,119
yellow,CMT,2018-01-01T00:00:46.000000Z,2018-01-01T00:09:34.000000Z,Standard rate,,,,,1,2.9,11.0,0.5,0.5,2.46,0.0,0.0,0.3,0.0,14.76,Card,na,140,224
green,VTS,2018-01-01T00:00:47.000000Z,2018-01-01T00:07:38.000000Z,Standard rate,,,,,1,1.09,6.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,7.8,Card,Street hail,41,166
green,VTS,2018-01-01T00:00:47.000000Z,2018-01-01T00:17:42.000000Z,Standard rate,,,,,1,6.640000000000,21.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,22.8,Cash,Street hail,112,223
green,VTS,2018-01-01T00:00:49.000000Z,2018-01-01T00:22:06.000000Z,Standard rate,,,,,1,11.040000000000,31.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,32.8,Cash,Street hail,82,130
yellow,VTS,2018-01-01T00:00:50.000000Z,2018-01-01T00:08:52.000000Z,Standard rate,,,,,1,1.18,7.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,8.3,Cash,na,114,79
yellow,VTS,2018-01-01T00:00:51.000000Z,2018-01-01T00:14:31.000000Z,Standard rate,,,,,1,6.63,20.0,0.5,0.5,5.32,0.0,0.0,0.3,0.0,26.62,Card,na,264,264
yellow,VTS,2018-01-01T00:00:51.000000Z,2018-01-01T00:14:12.000000Z,Standard rate,,,,,1,2.46,11.5,0.5,0.5,1.0,0.0,0.0,0.3,0.0,13.8,Card,na,161,263
yellow,VTS,2018-01-01T00:00:52.000000Z,2018-01-01T00:21:21.000000Z,Standard rate,,,,,3,4.2,16.5,0.5,0.5,4.0,0.0,0.0,0.3,0.0,21.8,Card,na,61,36
green,VTS,2018-01-01T00:00:53.000000Z,2018-01-01T00:09:29.000000Z,Standard rate,,,,,1,1.8,8.0,0.5,0.5,1.86,0.0,0.0,0.3,0.0,11.16,Card,Street hail,33,40
yellow,VTS,2018-01-01T00:00:53.000000Z,2018-01-01T00:15:15.000000Z,Standard rate,,,,,2,0.42,9.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,10.8,Card,na,161,161
yellow,VTS,2018-01-01T00:00:53.000000Z,2018-01-01T00:15:14.000000Z,Standard rate,,,,,1,3.49,13.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,14.8,Cash,na,24,142
yellow,VTS,2018-01-01T00:00:54.000000Z,2018-01-01T00:09:59.000000Z,Standard rate,,,,,1,1.95,8.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.8,Cash,na,229,79
green,VTS,2018-01-01T00:00:55.000000Z,2018-01-01T00:11:23.000000Z,Standard rate,,,,,1,2.42,10.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,11.8,Cash,Street hail,226,82
green,VTS,2018-01-01T00:00:55.000000Z,2018-01-01T00:04:04.000000Z,Standard rate,,,,,1,0.11,4.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,5.3,Cash,Street hail,74,74
yellow,CMT,2018-01-01T00:00:56.000000Z,2018-01-01T00:21:29.000000Z,Standard rate,,,,,2,3.1,15.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,16.3,Cash,na,238,161
green,VTS,2018-01-01T00:00:57.000000Z,2018-01-01T00:06:47.000000Z,Standard rate,,,,,1,1.08,6.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,7.3,Cash,Street hail,173,70
yellow,CMT,2018-01-01T00:00:58.000000Z,2018-01-01T00:27:56.000000Z,Standard rate,,,,,2,9.8,30.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,31.8,Cash,na,162,18
yellow,VTS,2018-01-01T00:00:59.000000Z,2018-01-01T00:05:13.000000Z,Standard rate,,,,,1,0.87,5.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.8,Cash,na,68,90
yellow,VTS,2018-01-01T00:00:59.000000Z,2018-01-01T00:02:40.000000Z,Standard rate,,,,,6,0.33,3.5,0.5,0.5,0.96,0.0,0.0,0.3,0.0,5.76,Card,na,264,264
yellow,VTS,2018-01-01T00:00:59.000000Z,2018-01-01T00:02:28.000000Z,Standard rate,,,,,1,0.4,3.5,0.5,0.5,0.96,0.0,0.0,0.3,0.0,5.76,Card,na,13,13
yellow,CMT,2018-01-01T00:01:00.000000Z,2018-01-01T00:25:45.000000Z,Standard rate,,,,,1,16.0,43.5,0.5,0.5,2.0,0.0,0.0,0.3,0.0,46.800000000000,Card,na,132,108
yellow,VTS,2018-01-01T00:01:00.000000Z,2018-01-01T00:13:31.000000Z,Standard rate,,,,,1,0.48,8.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.8,Cash,na,48,48
yellow,VTS,2018-01-01T00:01:00.000000Z,2018-01-01T00:10:39.000000Z,Standard rate,,,,,1,2.02,9.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,10.3,Cash,na,151,75
yellow,VTS,2018-01-01T00:01:01.000000Z,2018-01-01T00:16:06.000000Z,Standard rate,,,,,4,4.41,15.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,16.8,Cash,na,229,148
yellow,CMT,2018-01-01T00:01:03.000000Z,2018-01-01T00:12:32.000000Z,Standard rate,,,,,1,2.9,11.0,0.5,0.5,3.65,0.0,0.0,0.3,0.0,15.950000000000,Card,na,48,236
yellow,CMT,2018-01-01T00:01:05.000000Z,2018-01-01T00:13:28.000000Z,Standard rate,,,,,4,1.3,9.0,0.5,0.5,2.05,0.0,0.0,0.3,0.0,12.35,Card,na,144,113
green,VTS,2018-01-01T00:01:06.000000Z,2018-01-01T00:06:24.000000Z,Standard rate,,,,,5,0.75,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Card,Street hail,255,256
yellow,VTS,2018-01-01T00:01:06.000000Z,2018-01-01T00:19:39.000000Z,Standard rate,,,,,4,2.83,13.5,0.5,0.5,2.96,0.0,0.0,0.3,0.0,17.76,Card,na,100,148
yellow,VTS,2018-01-01T00:01:07.000000Z,2018-01-01T00:01:10.000000Z,Negotiated fare,,,,,2,0.06,15.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,15.3,Card,na,264,113
green,CMT,2018-01-01T00:01:08.000000Z,2018-01-01T00:06:28.000000Z,Standard rate,,,,,4,1.3,6.5,0.5,0.5,1.55,0.0,0.0,0.3,0.0,9.35,Card,Street hail,7,260
yellow,CMT,2018-01-01T00:01:08.000000Z,2018-01-01T00:05:42.000000Z,Standard rate,,,,,1,0.8,5.0,0.5,0.5,1.7,0.0,0.0,0.3,0.0,8.0,Card,na,144,231
yellow,VTS,2018-01-01T00:01:09.000000Z,2018-01-01T00:04:39.000000Z,Standard rate,,,,,1,0.75,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Cash,na,41,75
yellow,VTS,2018-01-01T00:01:10.000000Z,2018-01-01T00:17:19.000000Z,Standard rate,,,,,1,5.47,17.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,18.8,Cash,na,90,112
green,VTS,2018-01-01T00:01:11.000000Z,2018-01-01T00:09:31.000000Z,Standard rate,,,,,1,1.51,7.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,8.8,Cash,Street hail,146,146
yellow,VTS,2018-01-01T00:01:11.000000Z,2018-01-01T00:17:52.000000Z,Standard rate,,,,,1,4.42,15.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,16.8,Cash,na,229,24
green,VTS,2018-01-01T00:01:12.000000Z,2018-01-01T00:13:20.000000Z,Standard rate,,,,,1,3.04,12.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,13.3,Cash,Street hail,25,61
yellow,VTS,2018-01-01T00:01:13.000000Z,2018-01-01T00:10:01.000000Z,Standard rate,,,,,1,1.47,7.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,8.8,Cash,na,90,164
